Джордж Оруэлл;George Orwell;1984 (роман);Nineteen Eighty-Four
Диккенс, Чарльз;Charles Dickens;Большие надежды;Great Expectations
Толстой, Лев Николаевич;Leo Tolstoy;Анна Каренина;Anna Karenina
Остин, Джейн;Jane Austen;Гордость и предубеждение;Pride and Prejudice
Достоевский, Фёдор МИхайлович;Fyodor M Dostoyevsky;Преступление и наказание;Crime and Punishment
Джордж Элиот;George Eliot;;Middlemarch
Гарсиа Маркес, Габриэль;Gabriel Garcia Marquez;Сто лет одиночества;One Hundred Years of Solitude
Бронте, Эмили;Emily Brontë;Грозовой перевал;Wuthering Heights
Толстой, Лев Николаевич;Leo Tolstoy;Война и мир;War and Peace
Гарсиа Маркес, Габриэль;Gabriel Garcia Marquez;Любовь во время холеры;Love in the Time of Cholera
Рушди, Салман;Salman Rushdie;;Midnight's Children
Джойс, Джеймс;James Joyce;Улисс;Ulysses
Ибсен, Генрик;Henrik Ibsen;;A Doll's House
Толкин, Джон Рональд Руэл;JRR Tolkien;Властелин колец;The Lord of the Rings
Флобер, Гюстав;Gustave Flaubert;;A Sentimental Education
Пулман, Филип;Philip Pullman;Тёмные начала;His Dark Materials
Фолкнер, Уильям;William Faulkner;;Absalom, Absalom!
Адамс, Дуглас;Douglas Adams;Автостопом по галактике (серия романов);The Hitchhiker's Guide to the Galaxy
Марк Твен;Mark Twain;;The Adventures of Huckleberry Finn
Роулинг, Джоан;JK Rowling;Гарри Поттер и Кубок огня;Harry Potter and the Goblet of Fire
Вергилий;Virgil;;The Aeneid
Ли, Харпер;Harper Lee;Убить пересмешника;To Kill a Mockingbird
Тони Моррисон;Toni Morrison;;Beloved
Милн, Алан Александр;AA Milne;;Winnie the Pooh
Дёблин, Альфред;Alfred Doblin;;Berlin Alexanderplatz
Льюис, Клайв Стейплз;CS Lewis;Лев, колдунья и платяной шкаф;The Lion, the Witch and the Wardrobe
Сарамаго, Жозе;Jose Saramago;;Blindness
Бронте, Шарлотта;Charlotte Brontë;Джейн Эйр;Jane Eyre
Песоа, Фернанду;Fernando Pessoa;;The Book of Disquiet
Хеллер, Джозеф;Joseph Heller;Уловка-22;Catch-22
;The Book of Job;;The Book of Job
Фолкс, Себастьян;Sebastian Faulks;;Birdsong
Достоевский, Фёдор Михайлович;Fyodor M Dostoyevsky;;The Brothers Karamazov
Дюморье, Дафна;Daphne du Maurier;Ревекка;Rebecca
Манн, Томас;Thomas Mann;;Buddenbrooks
Сэлинджер, Джером Дэвид;JD Salinger;Над пропастью во ржи;The Catcher in the Rye
Чосер, Джеффри;Geoffrey Chaucer;;Canterbury Tales
Грэм, Кеннет;Kenneth Grahame;Ветер в ивах;The Wind in the Willows
Кафка, Франц;Franz Kafka;;The Castle
Олкотт, Луиза Мэй;Louisa May Alcott;Маленькие женщины;Little Women
Махфуз, Нагиб;Naguib Mahfouz;;Children of Gebelawi
Луи де Берньер;Louis de Bernieres;;Captain Corelli's Mandolin
Борхес, Хорхе Луис;Jorge Luis Borges;;Collected Fictions
Митчелл, Маргарет;Margaret Mitchell;Унесённые ветром;Gone with the Wind
Леопарди, Джакомо;Giacomo Leopardi;;Complete Poems
Роулинг, Джоан;JK Rowling;;Harry Potter And The Philosopher's Stone
Кафка, Франц;Franz Kafka;;The Complete Stories
Роулинг, Джоан;JK Rowling;;Harry Potter And The Chamber Of Secrets
По, Эдгар Аллан;Edgar Allan Poe;;The Complete Tales
Ройлинг, Джоан;JK Rowling;;Harry Potter And The Prisoner Of Azkaban
Итало Звево;Italo Svevo;;Confessions of Zeno
Толкин, Джон Рональд Руэл;JRR Tolkien;Хоббит, или Туда и обратно;The Hobbit
Гоголь, Николай Васильевич;Nikolai Gogol;;Dead Souls
Харди, Томас;Thomas Hardy;;Tess Of The D'Urbervilles
Толстой, Лев Николаевич;Leo Tolstoy;;The Death of Ivan Ilyich and Other Stories
Ирвинг, Джон Уинслоу;John Irving;;A Prayer For Owen Meany
Джованни Боккаччо;Giovanni Boccaccio;;Decameron
Стейнбек, Джон;John Steinbeck;;The Grapes Of Wrath
Гимарайнш Роза, Жуан;Joao Guimaraes Rosa;;The Devil to Pay in the Backlands
Льюис Кэрролл;Lewis Carroll;;Alice's Adventures In Wonderland
Лу Синь;Lu Xun;;Diary of a Madman and Other Stories
Уилсон, Жаклин;Jacqueline Wilson;;The Story Of Tracy Beaker
Данте Алигьери;Dante Alighieri;;The Divine Comedy
Фоллетт, Кен;Ken Follett;;The Pillars Of The Earth
Сервантес, Мигель де;Miguel de Cervantes Saavedra;;Don Quixote
Диккенс, Чарльз;Charles Dickens;Дэвид Копперфильд (роман);David Copperfield
Монтень, Мишель де;Michel de Montaigne;;Essays
Даль, Роальд;Roald Dahl;;Charlie And The Chocolate Factory
Андерсен, Ханс Кристиан;Hans Christian Andersen;;Fairy Tales and Stories
Стивенсон, Роберт Льюис;Robert Louis Stevenson;Остров сокровищ;Treasure Island
Гёте, Иоганн Вольфганг фон;Johann Wolfgang von Goethe;;Faust
Шют, Невил;Nevil Shute;;A Town Like Alice
Рабле, Франсуа;Francois Rabelais;;Gargantua and Pantagruel
Остин, Джейн;Jane Austen;;Persuasion
Гильгамеш;Gilgamesh;;Gilgamesh
Герберт, Фрэнк;Frank Herbert;Дюна;Dune
Лессинг, Дорис;Doris Lessing;;The Golden Notebook
Остин, Джейн;Jane Austen;Эмма (роман);Emma
Свифт, Джонатан;Jonathan Swift;;Gulliver's Travels
Монтгомери, Люси;LM Montgomery;;Anne Of Green Gables
Гарсиа Лорка, Федерико;Federico Garcia Lorca;;Gypsy Ballads
Адамс, Ричард;Richard Adams;Обитатели холмов;Watership Down
Шекспир, Уильям;William Shakespeare;;Hamlet
Фицджеральд, Фрэнсис Скотт;F Scott Fitzgerald;Великий Гэтсби;The Great Gatsby
Моранте, Эльза;Elsa Morante;;History
Дюма, Александр (отец);Alexandre Dumas;;The Count Of Monte Cristo
Гамсун, Кнут;Knut Hamsun;;Hunger
Во, Ивлин;Evelyn Waugh;Возвращение в Брайдсхед;Brideshead Revisited
Достоевский, Фёдор Михайлович;Fyodor M Dostoyevsky;;The Idiot
Джордж Оруэлл;George Orwell;Скотный двор;Animal Farm
Гомер;Homer;;The Iliad
Диккенс, Чарльз;Charles Dickens;Рождественская песнь в прозе;A Christmas Carol
Халлдор Кильян Лакснесс;Halldor K Laxness;;Independent People
Харди, Томас;Thomas Hardy;;Far From The Madding Crowd
Эллисон, Ральф;Ralph Ellison;;Invisible Man
Магориан, Мишель;Michelle Magorian;Спокойной ночи, мистер Том;Goodnight Mister Tom
Дидро, Дени;Denis Diderot;;Jacques the Fatalist and His Master
Пилчер, Розамунда;Rosamunde Pilcher;;The Shell Seekers
Селин, Луи-Фердинанд;Louis-Ferdinand Celine;;Journey to the End of the Night
Бёрнетт, Фрэнсис Элиза;Frances Hodgson Burnett;Таинственный сад (книга);The Secret Garden
Шекспир, Уильям;William Shakespeare;;King Lear
Стейнбек, Джон;John Steinbeck;;Of Mice And Men
Уитмен, Уолт;Walt Whitman;;Leaves of Grass
Кинг, Стивен;Stephen King;Противостояние (роман);The Stand
Стерн, Лоренс;Laurence Sterne;;The Life and Opinions of Tristram Shandy
Викрам Сет;Vikram Seth;;A Suitable Boy
Набоков, Владимир Владимирович;Vladimir Nabokov;;Lolita
Даль, Роальд;Roald Dahl;;The BFG
Флобер, Гюстав;Gustave Flaubert;;Madame Bovary
Рэнсом, Артур;Arthur Ransome;;Swallows And Amazons
Манн, Томас;Thomas Mann;;The Magic Mountain
Сьюэлл, Анна;Anna Sewell;;Black Beauty
Махабхарата;Mahabharata;;Mahabharata
Колфер, Оуэн;Eoin Colfer;Артемис Фаул;Artemis Fowl
Музиль, Роберт;Robert Musil;;The Man Without Qualities
;Malorie Blackman;;Noughts And Crosses
Джалаладдин Руми;Jalal ad-din Rumi;;The Mathnawi
Голден, Артур;Arthur Golden;;Memoirs Of A Geisha
Еврипид;Euripides;;Medea
Диккенс, Чарльз;Charles Dickens;;A Tale Of Two Cities
Юрсенар, Маргерит;Marguerite Yourcenar;;Memoirs of Hadrian
Маккалоу, Колин;Colleen McCollough;Поющие в терновнике;The Thorn Birds
Публий Овидий Назон;Ovid;;Metamorphoses
Пратчетт, Терри;Terry Pratchett;Мор, ученик Смерти;Mort
Мелвилл, Герман;Herman Melville;;Moby-Dick
Блайтон, Энид Мэри;Enid Blyton;;The Magic Faraway Tree
Вулф, Вирджиния;Virginia Woolf;;Mrs. Dalloway
Фаулз, Джон Роберт;John Fowles;;The Magus
;Njaals Saga;;Njaals Saga
;Terry Pratchett and Neil Gaiman;Благие знамения;Good Omens
Конрад, Джозеф;Joseph Conrad;;Nostromo
Пратчетт, Терри;Terry Pratchett;Стража! Стража!;Guards! Guards!
Гомер;Homer;;The Odyssey
Голдинг, Уильям;William Golding;;Lord Of The Flies
Царь Эдип;Oedipus the King;;Oedipus the King
Зюскинд, Патрик;Patrick Süskind;Духи;Perfume
Бальзак, Оноре де;Honore de Balzac;;Old Goriot
Тресселл, Роберт;Robert Tressell;;The Ragged Trousered Philanthropists
Хемингуэй, Эрнест;Ernest Hemingway;;The Old Man and the Sea
Пратчетт, Терри;Terry Pratchett;Ночной дозор;Night Watch
Саади;Sheikh Musharrif ud-din Sadi;;The Orchard
Даль, Роальд;Roald Dahl;Матильда (значения);Matilda
Шекспир, Уильям;William Shakespeare;;Othello
Филдинг, Хелен;Helen Fielding;Дневник Бриджит Джонс (роман);Bridget Jones's Diary
Рульфо, Хуан;Juan Rulfo Juan Rulfo;;Pedro Paramo
Тартт, Донна;Donna Tartt;;The Secret History
Линдгрен, Астрид;Astrid Lindgren;;Pippi Longstocking
Коллинз, Уилки;Wilkie Collins;;The Woman In White
Целан, Пауль;Paul Celan;;Poems
Диккенс, Чарльз;Charles Dickens;Холодный дом;Bleak House
Достоевский, Фёдор Михайлович;Fyodor M Dostoyevsky;;The Possessed
Уилсон, Жаклин;Jacqueline Wilson;;Double Act
Вальмики;Valmiki;;The Ramayana
Даль, Роальд;Roald Dahl;;The Twits
Калидаса;Kalidasa;;The Recognition of Sakuntala
Смит, Доди;Dodie Smith;;I Capture The Castle
Стендаль;Stendhal;;The Red and the Black
Сачар, Луис;Louis Sachar;;Holes
Пруст, Марсель;Marcel Proust;;Remembrance of Things Past
Пик, Мервин;Mervyn Peake;;Gormenghast
Салих, Тайиб;Tayeb Salih;;Season of Migration to the North
Рой, Арундати;Arundhati Roy;;The God Of Small Things
Чехов, Антон Павлович;Anton P Chekhov;;Selected Stories
Уилсон, Жаклин;Jacqueline Wilson;;Vicky Angel
Лоуренс, Дэвид Герберт;DH Lawrence;;Sons and Lovers
Хаксли, Олдос;Aldous Huxley;О дивный новый мир;Brave New World
Фолкнер, Уильям;William Faulkner;;The Sound and the Fury
Гиббонс, Стелла;Stella Gibbons;;Cold Comfort Farm
Кавабата, Ясунари;Yasunari Kawabata;;The Sound of the Mountain
Фэйст, Раймонд;Raymond E Feist;;Magician
Камю, Альбер;Albert Camus;;The Stranger
Керуак, Джек;Jack Kerouac;;On The Road
Мурасаки Сикибу;Shikibu Murasaki;;The Tale of Genji
Пьюзо, Марио;Mario Puzo;Крёстный отец (фильм);The Godfather
Ачебе, Чинуа;Chinua Achebe;;Things Fall Apart
;Jean M Auel;;The Clan Of The Cave Bear
;Thousand and One Nights;;Thousand and One Nights
Пратчетт, Терри;Terry Pratchett;;The Colour Of Magic
Грасс, Гюнтер;Gunter Grass;;The Tin Drum
Коэльо, Пауло;Paulo Coelho;;The Alchemist
Вулф, Вирджиния;Virginia Woolf;;To the Lighthouse
;Anya Seton;;Katherine
Кафка, Франц;Franz Kafka;;The Trial
Арчер, Джеффри;Jeffrey Archer;;Kane And Abel
; Malone Dies;;Trilogy: Molloy, Malone Dies, The Unnamable
Уилсон, Жаклин;Jacqueline Wilson;;Girls In Love
Казандзакис, Никос;Nikos Kazantzakis;;Zorba the Greek
Кэбот, Мэг;Meg Cabot;;The Princess Diaries
