Nineteen Eighty-Four;George Orwell
A Doll's House;Henrik Ibsen
A Sentimental Education;Gustave Flaubert
Absalom, Absalom!;William Faulkner
The Adventures of Huckleberry Finn;Mark Twain
The Aeneid;Virgil
Anna Karenina;Leo Tolstoy
Beloved;Toni Morrison
Berlin Alexanderplatz;Alfred Doblin
Blindness;Jose Saramago
The Book of Disquiet;Fernando Pessoa
The Book of Job
The Brothers Karamazov;Fyodor M Dostoyevsky
Buddenbrooks;Thomas Mann
Canterbury Tales;Geoffrey Chaucer
The Castle;Franz Kafka
Children of Gebelawi;Naguib Mahfouz
Collected Fictions;Jorge Luis Borges
Complete Poems;Giacomo Leopardi
The Complete Stories;Franz Kafka
The Complete Tales;Edgar Allan Poe
Confessions of Zeno;Italo Svevo
Crime and Punishment;Fyodor M Dostoyevsky
Dead Souls;Nikolai Gogol
The Death of Ivan Ilyich and Other Stories;Leo Tolstoy
Decameron;Giovanni Boccaccio
The Devil to Pay in the Backlands;Joao Guimaraes Rosa
Diary of a Madman and Other Stories;Lu Xun
The Divine Comedy;Dante Alighieri
Don Quixote;Miguel de Cervantes Saavedra
Essays;Michel de Montaigne
Fairy Tales and Stories;Hans Christian Andersen
Faust;Johann Wolfgang von Goethe
Gargantua and Pantagruel;Francois Rabelais
Gilgamesh
The Golden Notebook;Doris Lessing
Great Expectations;Charles Dickens
Gulliver's Travels;Jonathan Swift
Gypsy Ballads;Federico Garcia Lorca
Hamlet;William Shakespeare
History;Elsa Morante
Hunger;Knut Hamsun
The Idiot;Fyodor M Dostoyevsky
The Iliad;Homer
Independent People;Halldor K Laxness
Invisible Man;Ralph Ellison
Jacques the Fatalist and His Master;Denis Diderot
Journey to the End of the Night;Louis-Ferdinand Celine
King Lear;William Shakespeare
Leaves of Grass;Walt Whitman
The Life and Opinions of Tristram Shandy;Laurence Sterne
Lolita;Vladimir Nabokov
Love in the Time of Cholera;Gabriel Garcia Marquez
Madame Bovary;Gustave Flaubert
The Magic Mountain;Thomas Mann
Mahabharata
The Man Without Qualities;Robert Musil
The Mathnawi;Jalal ad-din Rumi
Medea;Euripides
Memoirs of Hadrian;Marguerite Yourcenar
Metamorphoses;Ovid
Middlemarch;George Eliot
Midnight's Children;Salman Rushdie
Moby-Dick;Herman Melville
Mrs. Dalloway;Virginia Woolf
Njaals Saga
Nostromo;Joseph Conrad
The Odyssey;Homer
Oedipus the King
Old Goriot;Honore de Balzac
The Old Man and the Sea;Ernest Hemingway
One Hundred Years of Solitude;Gabriel Garcia Marquez
The Orchard;Sheikh Musharrif ud-din Sadi
Othello;William Shakespeare
Pedro Paramo;Juan Rulfo Juan Rulfo
Pippi Longstocking;Astrid Lindgren
Poems;Paul Celan
The Possessed;Fyodor M Dostoyevsky
Pride and Prejudice;Jane Austen
The Ramayana;Valmiki
The Recognition of Sakuntala;Kalidasa
The Red and the Black;Stendhal
Remembrance of Things Past;Marcel Proust
Season of Migration to the North;Tayeb Salih
Selected Stories;Anton P Chekhov
Sons and Lovers;DH Lawrence
The Sound and the Fury;William Faulkner
The Sound of the Mountain;Yasunari Kawabata
The Stranger;Albert Camus
The Tale of Genji;Shikibu Murasaki
Things Fall Apart;Chinua Achebe
Thousand and One Nights
The Tin Drum;Gunter Grass
To the Lighthouse;Virginia Woolf
The Trial;Franz Kafka
Trilogy: Molloy, Malone Dies, The Unnamable; Malone Dies
Ulysses;James Joyce
War and Peace;Leo Tolstoy
Wuthering Heights;Emily BrontÃ«
Zorba the Greek;Nikos Kazantzakis
